"","UserID","Monetary","Frequency","Recency","rankR","rankF","rankM","rankRMF","rankR1","rankF1","rankM1","rankRMF1","M_S","F_S","R_S","Custom"
"161",14728,3953,9,99,1,1,1,111,0.512315270935961,0.238095238095238,0.252888015717092,1,1,1,1,"潜在客户"
"162",14729,8830,15,24,3,4,5,345,0.881773399014778,0.523809523809524,0.63614931237721,3.7,2,2,1,"重点保持客户"
"163",14730,3510,9,111,1,1,1,111,0.45320197044335,0.238095238095238,0.218074656188605,1,1,1,1,"潜在客户"
"164",14731,6827,14,14,4,3,3,433,0.931034482758621,0.476190476190476,0.478742632612967,3.5,1,2,2,"重点保护客户"
"165",14732,5322,11,27,2,2,2,222,0.866995073891626,0.333333333333333,0.360471512770138,2,1,1,1,"潜在客户"
"166",14733,7437,15,5,5,4,4,544,0.975369458128079,0.523809523809524,0.526679764243615,4.5,2,2,2,"高价值客户"
"167",14734,8156,17,101,1,5,4,154,0.502463054187192,0.619047619047619,0.583182711198428,2.8,2,2,1,"重点保持客户"
"168",14735,5413,10,92,1,1,2,112,0.54679802955665,0.285714285714286,0.36762278978389,1.2,1,1,1,"潜在客户"
"169",14736,4859,11,58,1,2,2,122,0.714285714285714,0.333333333333333,0.324086444007859,1.5,1,1,1,"潜在客户"
"170",14737,6754,11,60,1,2,3,123,0.704433497536946,0.333333333333333,0.473005893909627,1.7,1,1,1,"潜在客户"
"171",14738,4121,13,24,3,3,1,331,0.881773399014778,0.428571428571429,0.266090373280943,2.6,1,2,1,"一般保护客户"
"172",14739,5987,11,2,5,2,3,523,0.990147783251232,0.333333333333333,0.412730844793713,3.7,1,1,2,"一般发展客户"
"173",14740,6138,12,7,5,2,3,523,0.96551724137931,0.380952380952381,0.424597249508841,3.7,1,1,2,"一般发展客户"
"174",14741,4604,11,20,3,2,1,321,0.901477832512315,0.333333333333333,0.304047151277014,2.3,1,1,1,"潜在客户"
